Owners,AppID,Name,Type,Changed,Kinguin,Achievements
6.06%,960300,Ecchi memory game,Delisted,12/2018,,?
6.06%,816660,High Speed Trains,Purchase disabled,03/2022,,7
6.05%,27300,Saw,Delisted,,739.04,?
6.05%,787430,Steel Arena: Robot War,Purchase disabled,01/2022,,0
6.05%,1140760,Rainforest Solitaire,F2P (unavailable),10/2021,,8
6.04%,844310,Curling World Cup,Purchase disabled,03/2022,,10
6.04%,1119560,Indian Legends Solitaire,F2P (unavailable),10/2021,,8
6.03%,1433100,Alchemist Adventure Prologue,F2P (unavailable),03/2022,,4
6.03%,2321600,????,F2P (unavailable),11/2023,,?
6.02%,785680,Space Launch Engineer,Purchase disabled,01/2022,,26
6.01%,373080,Instinct,Delisted,,,?
6.01%,787440,Sea Battle: Through the Ages,Purchase disabled,01/2022,,22
6.01%,850960,Jurassic Safari Hunt,Purchase disabled,01/2022,,24
6.00%,306520,Ford Street Racing,Delisted,01/2018,,?
5.99%,591530,Hyper Universe,F2P (unavailable),12/2018,,0
5.99%,855480,Digital Dungeon,Purchase disabled,01/2022,,10
5.99%,860580,Wrestlers Without Boundaries,Purchase disabled,01/2022,,22
5.99%,1135710,Peace Restored,F2P (unavailable),12/2021,,?
5.99%,1190530,Glyph VR,F2P (unavailable),04/2021,,?
5.99%,1437010,The Last Spell: Prologue,F2P (unavailable),06/2021,,?
5.99%,2426410,Boti: Byteland Overclocked - Prologue,F2P (unavailable),09/2023,,?
5.98%,407510,Devilian,F2P (unavailable),05/2019,,?
5.98%,1024380,Second Extinction?,Purchase disabled,10/2023,,29
5.97%,349750,Cold Contract,Delisted,,,?
5.96%,9990,Ghostbusters: Sanctum of Slime,Delisted,02/2017,,?
5.95%,434930,GiAnt,Purchase disabled,01/2019,,0
5.95%,795140,Roanoke,F2P (unavailable),07/2020,,11
5.94%,497570,Building the Great Wall of China 2,F2P (unavailable),09/2020,,0
5.94%,526680,Lifeliqe VR Museum,F2P (unavailable),12/2019,,0
5.94%,807790,Parkour Simulator,Purchase disabled,03/2022,,13
5.94%,953440,"And You're There, Too",F2P (unavailable),09/2021,,?
5.93%,665140,Midnight at the Red Light : An Investigation,Purchase disabled,06/2019,3.21,12
5.93%,1307920,Rift Runner,Purchase disabled,06/2023,,?
5.93%,1551240,Battle Lust,F2P (unavailable),05/2022,,?
5.91%,523190,Weapons of Mythology - New Age -,F2P (unavailable),04/2021,,0
5.91%,678290,Ezy,Purchase disabled,12/2019,,30
5.91%,554510,The Golf Club 2?,Purchase disabled,07/2020,9.2,26
5.91%,1653240,Polus.gg,F2P (unavailable),04/2022,,?
5.90%,787750,Blazing Core (beta),Test app,10/2018,,0
5.89%,628610,AIRIS,F2P (unavailable),06/2018,,12
5.89%,820890,Blood Bond - Into the Shroud,Purchase disabled,11/2022,,?
5.89%,1768620,?????,F2P (unavailable),09/2022,,?
5.88%,731730,Wandering in space,Delisted,12/2017,,?
5.88%,1764250,Filthy Animals | Halloween Heist,F2P (unavailable),05/2022,,?
5.88%,1325290,Ever Forward Prologue,F2P (unavailable),08/2020,,10
5.87%,315740,Ford Racing Off Road,Delisted,01/2018,,?
5.87%,807950,Piano Cat,Purchase disabled,01/2022,,9
5.87%,1660570,The Last Yandere: Cursed Dark,F2P (unavailable),02/2022,,?
5.86%,759770,Eggo,Delisted,01/2018,,36
5.86%,897390,Full Metal Renegade,Purchase disabled,01/2022,,?
5.86%,1490310,Gladiators IDLE,F2P (unavailable),05/2021,,8
5.86%,2080720,Ashcrown,F2P (unavailable),05/2023,,?
5.86%,862640,Heroes Of The Offworld Arena,Purchase disabled,01/2022,,0
5.86%,2289280,Star Survivor - Prologue,F2P (unavailable),03/2023,,?
5.86%,2329720,League Funny ?????,F2P (unavailable),05/2023,,?
5.85%,876870,Road Patrol Truck,Purchase disabled,01/2022,,9
5.84%,436060,Lolly Joe,Purchase disabled,08/2019,,8
5.84%,792060,Stickman Fighting,Purchase disabled,01/2022,,27
5.83%,299890,Franchise Hockey Manager 2014,Delisted,,174.55,?
5.83%,1463700,I Am Human!,F2P (unavailable),05/2022,,?
5.83%,1230210,Groupthink,F2P (unavailable),02/2022,,?
5.83%,2285600,The Third,F2P (unavailable),03/2023,,?
5.82%,488680,Tower Defense Ultimate,Delisted,07/2017,1.73,?
5.82%,828460,Corpse Mob,Purchase disabled,03/2023,,25
5.82%,1025580,Vainglory,F2P (unavailable),07/2020,,?
5.82%,1066220,Girls of Hentai Mosaic,Purchase disabled,01/2022,,100
5.82%,2291440,RINA RhythmERROR?Prologue,F2P (unavailable),03/2023,,?
5.81%,263260,Motor Rock,Delisted,,,?
5.81%,496480,Vex,Purchase disabled,05/2023,,12
5.81%,759800,Everyday Lite,F2P (unavailable),03/2020,,0
5.81%,1119690,LAMO,F2P (unavailable),02/2023,,?
5.80%,236530,Hot Wheels? World's Best Driver?,Delisted,01/2017,16.64,?
5.80%,541960,TRI.DEFENDER,Purchase disabled,10/2023,,9
5.80%,1356470,The Rooster's Chess,F2P (unavailable),12/2021,,?
5.80%,2126420,Void Scrappers Prologue,F2P (unavailable),10/2022,,?
5.79%,1479150,Aeon Drive: Tournament,F2P (unavailable),04/2022,,?
5.78%,234530,War of the Vikings,Delisted,01/2017,12.44,?
5.78%,1132210,Kingdom Under Fire 2,Purchase disabled,09/2021,3.01,0
5.78%,2511640,Healer:Prologue,F2P (unavailable),11/2023,,?
5.77%,1434220,Sunshine Manor Prologue,F2P (unavailable),10/2021,,?
5.76%,1455110,Tower Arena,F2P (unavailable),05/2022,,0
5.75%,33900,Arma 2,Purchase disabled,03/2014,1.49,0
5.75%,718540,Exorcism: Case Zero,Purchase disabled,07/2022,,0
5.75%,773240,Raceland,Purchase disabled,04/2023,,0
5.75%,896700,Extreme Drifters,Purchase disabled,01/2022,,?
5.75%,1590490,Poker Supreme - Las Vegas,F2P (unavailable),06/2022,,?
5.75%,769720,Island of Deception,F2P (unavailable),04/2021,,0
5.75%,1042900,Borderlight,F2P (unavailable),07/2020,,36
5.74%,875360,Last Alive,Purchase disabled,01/2022,,?
5.74%,2184680,Battle Grid: Prologue,F2P (unavailable),06/2023,,?
5.73%,649900,Mini Guns,F2P (unavailable),02/2021,,102
5.73%,785690,desTRUCKtors: Warfare Showdown,Purchase disabled,01/2022,,5
5.72%,323900,MoW: Face Off M,F2P (unavailable),,,36
5.72%,1016350,Land of Dread,F2P (unavailable),07/2020,,12
5.72%,2406130,Verdict: Descent,F2P (unavailable),11/2023,,?
5.71%,303710,Monomino,Purchase disabled,12/2016,46.45,0
5.70%,815660,Lucie,F2P (unavailable),05/2021,,0
5.68%,816610,HandyCopter,Purchase disabled,01/2022,,5
5.68%,952090,Grand Strategy,F2P (unavailable),05/2021,,?
5.67%,921940,Icarus Online,F2P (unavailable),08/2021,,?
5.67%,1023020,Slime Crunch,F2P (unavailable),07/2020,,21
5.66%,693750,Galactic Crew,Purchase disabled,04/2021,8.7,16
5.66%,712440,Shroom,Delisted,06/2018,,?
5.65%,749780,DEAD DOZEN,Purchase disabled,10/2021,,0
5.65%,2149790,Beautiful Mystic Survivors: Prologue,F2P (unavailable),10/2022,,?
5.65%,909060,Stephino RPG,F2P (unavailable),12/2021,,?
5.65%,1232710,Rustler: Prologue,F2P (unavailable),02/2021,,0
5.64%,1533700,Second Star: Prelude,F2P (unavailable),11/2021,,4
5.63%,1937830,Clearcutting,F2P (unavailable),06/2022,,9
5.63%,227680,StarForge,Delisted,01/2017,86.48,?
5.63%,1015500,WWE 2K20,Purchase disabled,07/2022,,51
5.63%,1097800,Stranger Things 3: The Game,Purchase disabled,08/2021,,31
5.62%,13510,Tom Clancy's Ghost Recon: Advanced Warfighter 2,Delisted,,,0
5.62%,204760,Deep Black : Reloaded,Purchase disabled,11/2022,,20
5.62%,791570,Redline Ultimate Racing,Purchase disabled,10/2019,2.21,0
5.61%,1270990,West of Dead Beta,F2P (unavailable),06/2020,,0
5.59%,713760,Turf Wars,Purchase disabled,04/2019,2.28,0
5.59%,840290,Pendula Swing Episode 1 - Tired and Retired,F2P (unavailable),04/2021,,41
5.58%,314860,DayBreak Online,F2P (unavailable),04/2021,,71
5.57%,936040,Master of Mutations,Purchase disabled,01/2022,,17
5.57%,1242620,HUNGRY TEA PARTY,F2P (unavailable),07/2021,,?
5.57%,44310,F1 2010?,Delisted,09/2017,381.03,0
5.57%,1027200,Cold Bite,F2P (unavailable),07/2020,,11
5.55%,715220,Ironsight,F2P (unavailable),08/2020,,0
5.54%,351840,Odyssey Reborn,F2P (unavailable),07/2016,,?
5.52%,454430,Crystal Chip Collector,Purchase disabled,10/2023,,0
5.52%,554670,Infektor,Purchase disabled,03/2020,1.54,0
5.52%,878410,Unbroken Warrior,Purchase disabled,01/2022,,?
5.52%,987350,PlanetSide Arena,Purchase disabled,06/2021,,0
5.52%,1962140,?????Idle,F2P (unavailable),06/2022,,?
5.51%,394830,One Upon Light,Delisted,02/2018,9.09,7
5.50%,1179790,Heroes Of Maidan 3,F2P (unavailable),11/2021,,16
5.50%,1315390,Verse Surf,F2P (unavailable),09/2021,,?
5.50%,2164070,3 Crystals,F2P (unavailable),11/2022,,?
5.50%,1434500,MiniFarm 2020,Purchase disabled,10/2021,,?
5.49%,529730,Seabed Prelude,Purchase disabled,02/2019,0.94,32
5.48%,1100200,Chibi Volleyball,Purchase disabled,10/2022,,?
5.47%,1267240,Chaos Combat Chess,F2P (unavailable),08/2021,,?
5.47%,850950,Helicopter Flight Simulator,Purchase disabled,03/2022,,8
5.46%,953300,ART SQOOL,Purchase disabled,06/2020,12.54,0
5.45%,433320,Marvel: Ultimate Alliance 2,Purchase disabled,07/2018,139,58
5.45%,211120,The Political Machine,Purchase disabled,11/2019,24.24,21
5.45%,1383550,Soul Dossier,F2P (unavailable),06/2021,,?
5.45%,1611510,Ball Adventure Ball Simulator,F2P (unavailable),11/2021,,19
5.45%,2343970,WITCH RACE Prologue,F2P (unavailable),04/2023,,?
5.44%,358460,Talisman: The Horus Heresy,Purchase disabled,06/2020,34.45,51
5.44%,722070,Hyperide VR,Purchase disabled,03/2021,,0
5.44%,1247240,Shadowforge,F2P (unavailable),12/2021,,?
5.43%,672180,Detrita Battlegrounds,Delisted,12/2019,5.6,0
5.43%,1993230,????,F2P (unavailable),08/2022,,?
5.42%,599010,Hanse - The Hanseatic League,Purchase disabled,06/2020,27.19,29
5.42%,701020,Brinko,F2P (unavailable),01/2021,,0
5.42%,1360010,One Tile Man,F2P (unavailable),08/2021,,?
5.42%,249380,Carmageddon: Reincarnation,Delisted,10/2016,14.07,?
5.40%,377280,Alarameth TD,Purchase disabled,09/2021,,50
5.40%,953990,Heart of the Kingdom: Rebellion,Purchase disabled,08/2019,2.17,28
5.39%,1283610,Protoball Beta,F2P (unavailable),09/2021,,?
5.39%,1588690,Moonlight Princess,F2P (unavailable),03/2022,,?
5.39%,1976570,Swarm the City: Full Release Prologue,F2P (unavailable),05/2022,,8
5.38%,507360,The Wizard's Lair,Purchase disabled,03/2021,,10
5.37%,433300,Marvel: Ultimate Alliance,Purchase disabled,07/2018,111.92,58
5.35%,898010,Ratten Reich - Dance of Kings,F2P (unavailable),10/2021,,?
5.35%,914390,Dojini,Purchase disabled,08/2019,,9
5.34%,15540,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),Purchase disabled,05/2021,,1
5.34%,759530,Struckd - 3D Game Creator,F2P (unavailable),11/2020,,0
5.34%,1255060,THE SKIES REBORN,Purchase disabled,05/2023,,?
5.34%,867610,Shadow Council: The Puppeteers,Purchase disabled,01/2022,,25
5.34%,1784750,Die After Sunset Prologue,F2P (unavailable),02/2022,,?
5.33%,689650,Les Fleursword,Purchase disabled,03/2021,,9
5.33%,765800,Agents: Biohunters,F2P (unavailable),07/2021,,?
5.32%,613250,Keyboard Killer,Delisted,08/2017,,?
5.32%,818360,Wildbus,Purchase disabled,01/2020,,60
5.30%,34220,Football Manager 2011,Delisted,,4.6,?
5.29%,603720,There's Poop In My Soup: Pooping with Friends,Delisted,10/2018,,?
5.29%,598680,Master of Magic Chess,F2P (unavailable),03/2020,,55
5.29%,700470,Selenophobia,Purchase disabled,08/2021,,0
5.29%,929860,Game Builder,F2P (unavailable),11/2019,,0
5.28%,1361790,HYPERBOLIC Arcade Trading,F2P (unavailable),09/2021,,?
5.28%,1676980,Retro Three Kingdoms,F2P (unavailable),03/2022,,?
5.27%,795580,THE DAY Online,F2P (unavailable),06/2018,,0
5.27%,948730,Keyhole Spy: Lots of Girls,Delisted,10/2019,,26
5.26%,602090,Janus VR,F2P (unavailable),02/2020,,0
5.25%,787420,Robot Fighting,Purchase disabled,03/2022,,32
5.24%,814920,Sol705,F2P (unavailable),07/2020,,0
5.24%,2134620,Ancient Witch Arena Prologue,F2P (unavailable),10/2022,,?
5.24%,377200,Daemon Detective Gaiden,Purchase disabled,03/2022,,53
5.24%,703760,Chopper: Attack helicopters,F2P (unavailable),11/2019,,16
5.24%,875260,Frozen Soul,Purchase disabled,01/2022,,10
5.23%,753100,Orbitality,Purchase disabled,01/2022,,6
5.21%,561100,Disney's Aladdin,Purchase disabled,06/2019,1.49,0
5.21%,969680,Steel Circus,F2P (unavailable),01/2020,,35
5.21%,3440,Rocket Mania! Deluxe,Purchase disabled,12/2019,,0
5.21%,21660,Street Fighter IV,Purchase disabled,11/2021,,0
5.21%,348850,Disney Mickey's Typing Adventure,Delisted,11/2018,5.58,0
5.20%,599060,Age of Heroes: Conquest,F2P (unavailable),10/2019,,15
5.20%,719720,League of Pirates,F2P (unavailable),02/2021,,0
5.20%,823710,Who's in the Box?,Purchase disabled,01/2022,,31
5.19%,63600,realMyst,Delisted,09/2018,,0
5.19%,33210,Dawn of Discovery,Purchase disabled,06/2020,,0
5.19%,1813210,Help Club,F2P (unavailable),05/2022,,?
5.19%,2131990,Seeking Asylum: Revelations,F2P (unavailable),10/2022,,?
5.17%,795530,Viral Cry,Purchase disabled,01/2022,,23
5.17%,948720,Keyhole Spy: Fantasy Passion,Delisted,10/2019,,35
5.16%,906750,Weaverse,Purchase disabled,01/2020,4.88,26
5.16%,261600,Basketball Pro Management 2014,Purchase disabled,,5.54,0
5.16%,317780,Eternal Fate,F2P (unavailable),06/2016,,0
5.16%,492760,Aftercharge,Purchase disabled,06/2021,1.19,19
5.15%,234060,Timelines: Assault on America,Delisted,11/2016,24.74,?
5.15%,243140,Glare,Delisted,11/2017,27.47,23
5.14%,3400,Hammer Heads Deluxe,Purchase disabled,12/2019,,0
5.14%,228560,Teenage Mutant Ninja Turtles: Out of the Shadows,Purchase disabled,05/2023,55.77,30
5.14%,906020,Strike Cars,Purchase disabled,03/2022,,5
5.14%,210550,Angry Birds Space,Purchase disabled,12/2018,277.68,52
5.13%,935500,Keyhole Spy: Hot Nurses,Delisted,10/2019,,22
5.12%,709280,Island Build Masters,Purchase disabled,06/2020,,0
5.11%,807880,Mermaid Land,Purchase disabled,02/2021,2.8,18
5.11%,807890,Geek Fighter,Purchase disabled,01/2022,,25
5.11%,1103430,Detonation,F2P (unavailable),08/2021,,16
5.10%,350150,Scraps: Modular Vehicle Combat,Purchase disabled,02/2023,,0
5.10%,508590,Horror stair,Delisted,09/2016,,?
5.10%,1294300,Sockventure: Prologue,F2P (unavailable),03/2021,,19
5.09%,231990,Spider-Man: Shattered Dimensions,Delisted,03/2017,,?
5.08%,347220,The Cosmos Is MINE!,Delisted,08/2017,,1
5.08%,750660,Knockout Checkers Chamber,Purchase disabled,03/2022,,34
5.08%,752310,Flying Salvager,Purchase disabled,01/2022,,26
5.08%,831510,Another Brick in Space,Purchase disabled,01/2022,,10
5.08%,875680,Achievement Clicker: The End,Unreleased,05/2021,,?
5.08%,1856670,FARSIDE,F2P (unavailable),02/2022,,?
5.07%,287680,Pro Evolution Soccer 2015,Delisted,,60.8,?
5.07%,288290,Super Game Jam,Purchase disabled,10/2022,,0
5.07%,950100,PRO EVOLUTION SOCCER 2019 LITE,F2P (unavailable),12/2019,,0
5.07%,1918820,????,F2P (unavailable),05/2022,,?
5.06%,948710,Keyhole Spy: Naughty Witches,Delisted,10/2019,,15
5.06%,513050,Outrageous Grounds: The Maze,Purchase disabled,08/2023,,0
5.06%,2381590,Only Up!,Purchase disabled,09/2023,,?
5.04%,21900,Tom Clancy's H.A.W.X.,Delisted,,174.61,0
5.04%,97330,Magic: The Gathering - Duels of the Planeswalkers 2013,Purchase disabled,12/2020,,25
5.03%,240460,WWE 2K15,Delisted,03/2017,13.16,?
5.03%,251670,Battle Nations,F2P (unavailable),,,?
5.03%,1500020,GodGirl,Purchase disabled,05/2023,,17
5.03%,374090,Winter Sports Trilogy Super Pack,Delisted,01/2018,,?
5.03%,2465300,Loop Kingdom,Purchase disabled,10/2023,,?
5.02%,807910,Road Legends,Purchase disabled,01/2022,,10
5.02%,813240,Grim Town: Battle Tales,Purchase disabled,01/2022,,12
5.02%,820750,Cryptocurrency Clicker,Purchase disabled,03/2020,,51
5.02%,2421060,Radix Tale,F2P (unavailable),06/2023,,?
5.01%,33250,Anno 1404,Purchase disabled,06/2020,14.77,?
5.01%,1341230,Super Buckyball Tournament Preseason,F2P (unavailable),12/2020,,?
5.01%,1516980,Crazy Defense Heroes,F2P (unavailable),05/2021,,?
5.01%,449100,City of the Shroud,Purchase disabled,03/2021,,19
5.01%,813280,Sky Hawk,Purchase disabled,01/2022,,17
5.00%,727430,Starcaster,Purchase disabled,06/2021,,?
5.00%,807860,Mafia Gambling,Purchase disabled,01/2022,,13
5.00%,1540560,Operator,Purchase disabled,08/2022,,?
4.98%,212180,Combat Arms,F2P (unavailable),,,?
4.96%,775920,Soul Reaper: Unreap Commander,Purchase disabled,01/2019,263.93,320
4.96%,1169340,Trauma Simulator,F2P (unavailable),06/2021,,?
4.95%,33340,Dawn of Discovery - Venice,Purchase disabled,06/2020,14.32,0
4.95%,289910,Ropeway Simulator 2014,Delisted,08/2017,,33
4.95%,1884410,????,F2P (unavailable),03/2022,,?
4.94%,204960,Magical Drop V,Purchase disabled,07/2020,,23
4.94%,595110,Gran Skrea Online,Purchase disabled,03/2022,,137
4.94%,815940,AVA: Dog Tag,F2P (unavailable),05/2019,,52
4.93%,1350240,Critters for Sale: SNAKE,F2P (unavailable),06/2021,,?
4.93%,2201400,????,F2P (unavailable),02/2023,,?
4.93%,799300,Go Guess,F2P (unavailable),02/2021,,0
4.93%,1352380,Guts 'N Goals: Preseason,F2P (unavailable),04/2021,,1
4.91%,231670,Football Manager 2014,Delisted,,107.77,108
4.91%,440260,Temporal Temple,Delisted,06/2017,,17
4.91%,1546540,The Tenants - Free Trial,F2P (unavailable),03/2021,,?
4.90%,207890,Football Manager 2013,Delisted,,46.33,107
4.90%,486160,Berserk: The Cataclysm,F2P (unavailable),05/2018,,?
4.90%,803010,Supermedium,F2P (unavailable),06/2020,,0
4.89%,1662660,World Pirate Wars,F2P (unavailable),11/2021,,?
4.88%,13640,Tom Clancy's Ghost Recon: Advanced Warfighter,Delisted,,,0
4.88%,777660,Spacepowers,Purchase disabled,01/2022,,15
4.88%,854500,Dawn of the Celestialpod,Purchase disabled,04/2019,125.82,0
4.88%,1790260,Eden: New Dawn Free Edition,F2P (unavailable),12/2021,,?
4.88%,391530,Blast Out,Purchase disabled,05/2018,,0
4.88%,625140,Ragnarok Journey,F2P (unavailable),06/2019,,0
4.87%,885100,Intelligence Trader,Purchase disabled,01/2022,,20
4.87%,2011070,Armed Zone,F2P (unavailable),06/2022,,10
4.85%,219600,NBA 2K13,Delisted,03/2017,69.13,?
4.85%,359450,In Space We Brawl,Purchase disabled,03/2020,,22
4.85%,369300,Adventure Time: Finn and Jake Investigations,Delisted,04/2018,1081.37,24
4.85%,884200,PUGNite,Purchase disabled,05/2021,,?
4.84%,2588500,Autocraft,Purchase disabled,10/2023,,?
4.83%,303850,DanceWall Remix,Delisted,,,?
4.83%,955250,Weirdest Thing,Purchase disabled,10/2019,,36
4.83%,1084050,Legends of Catalonia,F2P (unavailable),04/2021,,?
4.82%,334930,The Ingenious Machine: New and Improved Edition,Delisted,,,?
4.81%,225180,Narco Terror,Delisted,07/2016,17.2,?
4.80%,2309240,Digital Eclipse Arcade: Q.P.I.D.,Unreleased,02/2023,,?
4.80%,1633280,DEMIGOD? NFT Gallery,F2P (unavailable),09/2021,,?
4.79%,416070,Mars 2030,Delisted,08/2020,,24
4.79%,1256850,Audio Drive 2 VR,F2P (unavailable),02/2021,,?
4.78%,669280,Les Quatre Alices,Purchase disabled,07/2021,,9
4.78%,853020,Venal Soul (Chapter One),Purchase disabled,01/2023,,0
4.77%,563330,Mountain Trap 2: Under the Cloak of Fear,Purchase disabled,12/2020,,0
4.77%,1976350,LettersFall 110%? - 100% FREE Word Game!,F2P (unavailable),06/2022,,?
4.77%,2449980,Other World Survivors:Prologue,F2P (unavailable),06/2023,,?
4.76%,871320,Flaming Pixels,Purchase disabled,01/2022,,4
4.75%,204510,The Expendables 2 Videogame,Delisted,,5.32,21
4.75%,204840,Babel Rising,Purchase disabled,12/2016,21.48,12
4.75%,360700,With Your Destiny,F2P (unavailable),02/2019,,0
4.75%,878400,Muay Thai Fighting,Purchase disabled,01/2022,,?
4.72%,1004190,Flowers in Dark,Purchase disabled,05/2023,,?
4.71%,1636100,Hourglass: Prologue,F2P (unavailable),03/2022,,?
4.71%,2162510,Fish the Detective!,F2P (unavailable),10/2022,,?
4.70%,862790,13 Cycles,Purchase disabled,02/2021,1.2,28
4.70%,1714740,Swarm the City: Prologue,F2P (unavailable),10/2021,,?
4.69%,33350,Anno 1404: Venice,Purchase disabled,06/2020,114.12,?
4.69%,663170,Prime Shift,F2P (unavailable),08/2019,,0
4.67%,697020,Until None Remain VR,Purchase disabled,07/2018,1.91,0
4.67%,1115820,MIND SWITCH,F2P (unavailable),12/2020,,?
4.67%,291090,I Get This Call Every Day,Delisted,06/2018,,13
4.67%,518320,Soko Match,Purchase disabled,05/2021,,4
4.67%,896860,Trekking and Camping Sketch Edition | ????????,Purchase disabled,01/2022,,3
4.66%,259910,Farming Giant,Purchase disabled,02/2021,24.38,0
4.66%,587540,Deliverace - Battle Racing,F2P (unavailable),08/2020,,6
4.65%,559990,ERR - 001,F2P (unavailable),09/2018,,0
4.65%,916980,CryptoFarm,Purchase disabled,03/2020,20.82,18
4.64%,913970,The Legend of Protey,Purchase disabled,01/2021,,9
4.63%,639170,Minecraft: Story Mode - Season Two,Purchase disabled,04/2019,,30
4.63%,897400,Driftpunk Racer,Purchase disabled,01/2022,,13
4.63%,935460,Girl Rugby Dash,Purchase disabled,01/2022,,23
4.62%,403880,MotoGP?15 Compact,Purchase disabled,09/2022,,10
4.62%,273240,Armored Hunter GUNHOUND EX,Purchase disabled,10/2018,,11
4.62%,537740,Dino Dini's Kick Off Revival,Purchase disabled,09/2023,,21
4.62%,788910,Apartment of Love,Purchase disabled,04/2021,,0
4.61%,464470,BloodGate,Purchase disabled,08/2017,,22
4.61%,963050,Toy Road Constructor,Purchase disabled,01/2022,,11
4.61%,1364890,Increase World,F2P (unavailable),10/2021,,1
4.61%,1839700,Milk Bottle And Monster Girl,Purchase disabled,05/2023,,90
4.60%,364260,Warlock's Citadel,Purchase disabled,12/2022,,32
4.60%,1154570,NAVALNY: A Nightmare of Corrupt,Purchase disabled,06/2021,3.36,21
4.59%,614100,Heroes of Paragon,F2P (unavailable),06/2019,,0
4.57%,726610,Podium Bash,Purchase disabled,04/2020,,13
4.57%,365750,Rugby World Cup 2015,Delisted,07/2019,24.06,20
4.57%,366600,Withstand: Apotheosis,Purchase disabled,11/2017,,15
4.57%,548450,Foreveracers,Purchase disabled,11/2021,,16
4.57%,592600,PRO EVOLUTION SOCCER 2018 LITE,F2P (unavailable),11/2018,,0
