Owners,AppID,Name,Type,Changed,Kinguin,Achievements
16.59%,644570,Material Girl,Purchase disabled,02/2022,,0
16.57%,51100,Tactical Intervention,F2P (unavailable),02/2018,,112
16.57%,384400,Hordelicious,Delisted,08/2017,,10
16.55%,237590,R.I.P.D.: The Game,Delisted,06/2018,19.42,15
16.55%,508190,Dragon Knight,Purchase disabled,02/2022,,42
16.48%,258700,Dragon Nest Europe,F2P (unavailable),10/2023,,?
16.48%,346320,Streets of Chaos,Purchase disabled,11/2018,1.48,0
16.46%,996470,eFootball PES 2020,F2P (unavailable),12/2020,,0
16.44%,557780,Atom Fishing II,F2P (unavailable),06/2023,,12
16.42%,358280,Alien Carnage / Halloween Harry,Purchase disabled,,224.12,0
16.41%,358330,Pharaoh's Tomb,Purchase disabled,12/2015,329.64,0
16.41%,358420,Xenophage,Purchase disabled,,224.12,0
16.40%,358170,Arctic Adventure,Purchase disabled,,302.2,0
16.39%,349720,Audition Online,F2P (unavailable),09/2023,,0
16.37%,358440,Dark Ages,Purchase disabled,,41.57,0
16.34%,358180,Bio Menace,Purchase disabled,12/2015,224.12,0
16.34%,836620,Black Desert (Retired),Purchase disabled,06/2021,,?
16.31%,684460,Project Lucie,Test app,07/2020,,0
16.28%,228020,Spacebase DF-9 Prototype,Retail only,11/2012,,?
16.28%,895040,CSC | Space MMO,F2P (unavailable),06/2022,,0
16.25%,539380,Think To Die 2,F2P (unavailable),03/2023,,23
16.25%,2075420,Golden Light of Rose,F2P (unavailable),03/2023,,?
16.20%,102700,A.V.A. Alliance of Valiant Arms?,F2P (unavailable),07/2018,,76
16.20%,268830,Doctor Who: The Adventure Games,Delisted,06/2017,116.71,30
16.19%,335080,Biology Battle,Delisted,06/2017,0.75,?
16.18%,371500,Grey Cubes,Purchase disabled,05/2023,,13
16.13%,341780,Chronicles of a Dark Lord: Episode II War of The Abyss,Purchase disabled,03/2020,1.31,54
16.13%,407060,AltspaceVR,F2P (unavailable),03/2023,,0
16.06%,333220,Cherry Tree High I! My! Girls!,Purchase disabled,07/2022,,0
16.03%,45750,Lost Planet 2,Purchase disabled,11/2021,,0
16.02%,207210,Tony Hawk's Pro Skater HD,Delisted,07/2017,13.19,15
15.97%,239660,Soldier Front 2,F2P (unavailable),04/2023,,20
15.94%,416130,Written in the Sky,F2P (unavailable),09/2019,,2
15.90%,358640,Blue Estate Digital Comic,F2P (unavailable),09/2021,,?
15.87%,287860,8-Bit Commando,Purchase disabled,08/2022,,16
15.83%,385490,MiniDrivers,Purchase disabled,09/2019,1.14,44
15.78%,389850,Legacy of Dorn: Herald of Oblivion,Purchase disabled,07/2020,0.59,24
15.76%,322910,"Warhammer 40,000: Regicide",Purchase disabled,10/2022,,35
15.67%,61700,Might & Magic: Clash of Heroes,Purchase disabled,04/2023,,14
15.64%,445840,Undead vs Plants,Purchase disabled,01/2020,5.81,0
15.64%,337950,The SKIES,F2P (unavailable),12/2020,,0
15.63%,630100,SoulWorker,F2P (unavailable),06/2021,,0
15.59%,232450,SolForge,F2P (unavailable),01/2019,,0
15.59%,243870,Tom Clancy's Ghost Recon Phantoms - NA,F2P (unavailable),01/2022,,?
15.53%,404620,The Political Machine 2016,Purchase disabled,01/2020,1.02,24
15.49%,252290,Elegy For A Dead World,Purchase disabled,01/2022,,3
15.46%,2083040,Nova Lands: Emilia's Mission,F2P (unavailable),06/2023,,?
